,,,,,,,
编号,产品名称,度数,香型,产地,生产公司,零售价,产品图片
1,布袋子土豪金青稞酒,46度,清香型,青海省,青海省西宁市宝全酒业,380,202.png
2,董酒 国密,54度,董香型,贵州省,贵州董酒股份有限公司,888,041.png
3,杜康一号,52度,浓香型,河南省,河南洛阳杜康控股有限公司,368,184.png
4,峨眉春二十年典藏,52度,清香型,四川省,四川峨眉山峨眉春酒业有限公司,1520,196.png
5,峨眉春精装纯粮酒（5斤装）,52度,浓香型,四川省,四川峨眉山峨眉春酒业有限公司,2988,198.png
6,峨眉春龙凤呈祥,52度,浓香型,四川省,四川峨眉山峨眉春酒业有限公司,398,199.png
7,峨眉春十五年典藏,52度,浓香型,四川省,四川峨眉山峨眉春酒业有限公司,866,195.png
8,飞天茅台,53度,酱香型,贵州省,中国贵州茅台酒厂（集团）有限责任公司,1160,028.png
9,凤凰和鸣,42度,浓香型,四川省,四川凤凰酒业有限公司,388,252.png
10,傅谭春,54度,芝麻香型,河南省,河南省傅潭酒业有限公司,660,185.png
11,国窖 1573,52度,浓香型,四川省,泸州老窖集团有限责任公司,899,112.png
12,国台 国礼 经典版,53度,酱香型,贵州省,贵州国台酒业有限公司,889,030.png
13,国台 国礼 五斤大坛 黄金版,53度,酱香型,贵州省,贵州国台酒业有限公司,999,033.png
14,衡水老白干十八酒坊20年,39度,清香型,河北省,河北衡水老白干酿酒(集团)有限公司,886,049.png
15,红花郎十五年陈酿,53度,酱香型,四川省,四川省古蔺郎酒厂有限公司,458,129.png
16,花梨岭金钻,46度,清香型,湖北省,恩施花梨岭酒业有限公司,688,209.png
17,级选重粮十八选,52度,浓香型,重庆市,重庆市重粮酒业有限公司,688,225.png
18,剑南春52度,52度,浓香型,四川省,四川绵竹剑南春酒厂有限公司,349,119.png
19,剑南春珍藏级特酿,52度,浓香型,四川省,四川绵竹剑南春酒厂有限公司,468,120.png
20,今良造20年,42度,浓香型,四川省,四川省宜宾今良造酒业有限公司,368,216.png
21,今良造20年,45度,浓香型,四川省,四川省宜宾今良造酒业有限公司,388,217.png
22,今良造20年,52度,浓香型,四川省,四川省宜宾今良造酒业有限公司,398,218.png
23,今世缘 国缘精装,42度,浓香型,江苏省,江苏今世缘酒业股份有限公司,455,098.png
24,金徽年份酒 18 年,46度,浓香型    ,甘肃省,金徽酒股份有限公司,458,027.png
25,金沙回沙酒—红钻1988,53度,酱香型,贵州省,金沙酒业集团,538,045.png
26,金沙酱酒30年,53度,酱香型,贵州省,金沙酒业集团,2258,042.png
27,金雁·腾飞1799,48度,浓香型,四川省,四川广汉金雁酒业有限公司,498,237.png
28,金雁·樽煌15,52度,浓香型,四川省,四川广汉金雁酒业有限公司,368,236.png
29,郎酒 郎牌特曲 T6,50度,浓香型,四川省,四川省古蔺郎酒厂有限公司,728,130.png
30,品味舍得,52度,浓香型,四川省,四川舍得酒业有限公司,338,124.png
31,塞上江南 莜香15年,53度,莜香型,宁夏,宁夏香山酒业(集团)有限公司,398,161.png
32,三沟 蓝狐,63度,浓香型,辽宁省,辽宁三沟酒业有限责任公司,880,141.png
33,水井坊 井台瓶,52度,浓香型,四川省,四川水井坊股份有限公司,469,123.png
34,水井坊 臻酿八号,52度,浓香型,四川省,四川水井坊股份有限公司,339,122.png
35,五粮液1618,52度,浓香型,四川省,四川宜宾五粮液股份有限公司,919,110.png
36,五粮液普五,52度,浓香型,四川省,四川宜宾五粮液股份有限公司,899,109.png
37,习酒 窖藏1988,53度,酱香型,贵州省,贵州茅台酒厂（集团）习酒有限公司,498,037.png
38,宣酒特贡15年,46度,浓香型    ,安徽省,安徽宣酒集团股份有限公司,320,019.png
39,洋河蓝色经典梦之蓝,52度,浓香型,江苏省,洋河酒厂股份有限公司,458,097.png
40,10版出口型天佑德,42度,清香型,青海省,青海互助青稞酒销售有限公司,198,205.png
41,52度酒鬼酒,52度,馥郁香型,湖南省,酒鬼酒股份有限公司,259,091.png
42,白云池盒装酒v12,42度,浓香型,四川省,四川白云池酒业有限公司,288,230.png
43,白云池盒装酒v6,42度,浓香型,四川省,四川白云池酒业有限公司,138,231.png
44,白云池苦荞酒健荞,42度,芦丁香.白藜芦醇苦荞配制酒,四川省,四川白云池酒业有限公司,168,233.png
45,百年皖酒 15年,42度,浓香型    ,安徽省,安徽皖酒集团,168,014.png
46,宝丰陈坛15年,54度,清香型,河南省,宝丰酒业有限公司勾调中心,108,183.png
47,宝丰国色清香尊品,52度,清香型,河南省,河南宝丰酒业,199,066.png
48,草原闷倒驴 大辽魂,63度,清香型,内蒙古,宁城御泉坊酒业有限公司,288,158.png
49,丛台酒 窖龄原浆10年,41度,浓香型    ,河北省,邯郸丛台酒业股份有限公司,198,054.png
50,道光廿五  精品皇袍,38度,浓香型,辽宁,辽宁道光廿五集团满族酿酒有限责任公司,130,139.png
51,道光廿五 皇袍,39度,浓香型,辽宁,辽宁道光廿五集团满族酿酒有限责任公司,148,137.png
52,稻花香珍品一号,38度,浓香型,湖北省,湖北稻花香酒业有限公司,130,084.png
